     istep       time        |phi|^2       |apar|^2       |bpar|^2
---------------------------------------------------------------------
         0   0.0000E+000   4.8374E-002   0.0000E+000   0.0000E+000
        20   2.0000E-001   1.6810E-001   0.0000E+000   0.0000E+000
        40   4.0000E-001   1.4751E-001   0.0000E+000   0.0000E+000
        60   6.0000E-001   1.4929E-001   0.0000E+000   0.0000E+000
        80   8.0000E-001   1.5217E-001   0.0000E+000   0.0000E+000
       100   1.0000E+000   1.5263E-001   0.0000E+000   0.0000E+000
       120   1.2000E+000   1.5565E-001   0.0000E+000   0.0000E+000
       140   1.4000E+000   1.5773E-001   0.0000E+000   0.0000E+000
       160   1.6000E+000   1.6084E-001   0.0000E+000   0.0000E+000
       180   1.8000E+000   1.6474E-001   0.0000E+000   0.0000E+000
       200   2.0000E+000   1.6950E-001   0.0000E+000   0.0000E+000
       220   2.2000E+000   1.7526E-001   0.0000E+000   0.0000E+000
       240   2.4000E+000   1.8203E-001   0.0000E+000   0.0000E+000
       260   2.6000E+000   1.8984E-001   0.0000E+000   0.0000E+000
       280   2.8000E+000   1.9870E-001   0.0000E+000   0.0000E+000
       300   3.0000E+000   2.0862E-001   0.0000E+000   0.0000E+000
       320   3.2000E+000   2.1958E-001   0.0000E+000   0.0000E+000
       340   3.4000E+000   2.3157E-001   0.0000E+000   0.0000E+000
       360   3.6000E+000   2.4460E-001   0.0000E+000   0.0000E+000
       380   3.8000E+000   2.5865E-001   0.0000E+000   0.0000E+000
       400   4.0000E+000   2.7370E-001   0.0000E+000   0.0000E+000
       420   4.2000E+000   2.8975E-001   0.0000E+000   0.0000E+000
       440   4.4000E+000   3.0679E-001   0.0000E+000   0.0000E+000
       460   4.6000E+000   3.2482E-001   0.0000E+000   0.0000E+000
       480   4.8000E+000   3.4387E-001   0.0000E+000   0.0000E+000
       500   5.0000E+000   3.6392E-001   0.0000E+000   0.0000E+000
       520   5.2000E+000   3.8500E-001   0.0000E+000   0.0000E+000
       540   5.4000E+000   4.0712E-001   0.0000E+000   0.0000E+000
       560   5.6000E+000   4.3029E-001   0.0000E+000   0.0000E+000
       580   5.8000E+000   4.5455E-001   0.0000E+000   0.0000E+000
       600   6.0000E+000   4.7996E-001   0.0000E+000   0.0000E+000
       620   6.2000E+000   5.0652E-001   0.0000E+000   0.0000E+000
