     istep       time        |phi|^2       |apar|^2       |bpar|^2
---------------------------------------------------------------------
         0   0.0000E+000   1.4527E-006   0.0000E+000   0.0000E+000
        10   1.0000E+000   2.3469E-006   0.0000E+000   0.0000E+000
        20   2.0000E+000   2.0827E-006   0.0000E+000   0.0000E+000
        30   3.0000E+000   1.9377E-006   0.0000E+000   0.0000E+000
        40   4.0000E+000   2.0369E-006   0.0000E+000   0.0000E+000
        50   5.0000E+000   2.1865E-006   0.0000E+000   0.0000E+000
        60   6.0000E+000   2.3919E-006   0.0000E+000   0.0000E+000
        70   7.0000E+000   2.6670E-006   0.0000E+000   0.0000E+000
        80   8.0000E+000   3.0677E-006   0.0000E+000   0.0000E+000
        90   9.0000E+000   3.6264E-006   0.0000E+000   0.0000E+000
       100   1.0000E+001   4.3558E-006   0.0000E+000   0.0000E+000
       110   1.1000E+001   5.3046E-006   0.0000E+000   0.0000E+000
       120   1.2000E+001   6.5220E-006   0.0000E+000   0.0000E+000
       130   1.3000E+001   8.0781E-006   0.0000E+000   0.0000E+000
       140   1.4000E+001   1.0057E-005   0.0000E+000   0.0000E+000
       150   1.5000E+001   1.2581E-005   0.0000E+000   0.0000E+000
       160   1.6000E+001   1.5817E-005   0.0000E+000   0.0000E+000
       170   1.7000E+001   1.9978E-005   0.0000E+000   0.0000E+000
       180   1.8000E+001   2.5340E-005   0.0000E+000   0.0000E+000
       190   1.9000E+001   3.2274E-005   0.0000E+000   0.0000E+000
       200   2.0000E+001   4.1260E-005   0.0000E+000   0.0000E+000
       210   2.1000E+001   5.2929E-005   0.0000E+000   0.0000E+000
       220   2.2000E+001   6.8117E-005   0.0000E+000   0.0000E+000
       230   2.3000E+001   8.7930E-005   0.0000E+000   0.0000E+000
       240   2.4000E+001   1.1383E-004   0.0000E+000   0.0000E+000
       250   2.5000E+001   1.4775E-004   0.0000E+000   0.0000E+000
       260   2.6000E+001   1.9229E-004   0.0000E+000   0.0000E+000
       270   2.7000E+001   2.5086E-004   0.0000E+000   0.0000E+000
       280   2.8000E+001   3.2805E-004   0.0000E+000   0.0000E+000
       290   2.9000E+001   4.2995E-004   0.0000E+000   0.0000E+000
       300   3.0000E+001   5.6470E-004   0.0000E+000   0.0000E+000
       310   3.1000E+001   7.4317E-004   0.0000E+000   0.0000E+000
       320   3.2000E+001   9.7991E-004   0.0000E+000   0.0000E+000
       330   3.3000E+001   1.2944E-003   0.0000E+000   0.0000E+000
       340   3.4000E+001   1.7127E-003   0.0000E+000   0.0000E+000
       350   3.5000E+001   2.2698E-003   0.0000E+000   0.0000E+000
       360   3.6000E+001   3.0127E-003   0.0000E+000   0.0000E+000
       370   3.7000E+001   4.0046E-003   0.0000E+000   0.0000E+000
       380   3.8000E+001   5.3301E-003   0.0000E+000   0.0000E+000
       390   3.9000E+001   7.1033E-003   0.0000E+000   0.0000E+000
       400   4.0000E+001   9.4778E-003   0.0000E+000   0.0000E+000
       410   4.1000E+001   1.2660E-002   0.0000E+000   0.0000E+000
       420   4.2000E+001   1.6929E-002   0.0000E+000   0.0000E+000
       430   4.3000E+001   2.2658E-002   0.0000E+000   0.0000E+000
       440   4.4000E+001   3.0355E-002   0.0000E+000   0.0000E+000
       450   4.5000E+001   4.0701E-002   0.0000E+000   0.0000E+000
       460   4.6000E+001   5.4617E-002   0.0000E+000   0.0000E+000
       470   4.7000E+001   7.3345E-002   0.0000E+000   0.0000E+000
       480   4.8000E+001   9.8561E-002   0.0000E+000   0.0000E+000
       490   4.9000E+001   1.3253E-001   0.0000E+000   0.0000E+000
       500   5.0000E+001   1.7832E-001   0.0000E+000   0.0000E+000
       510   5.1000E+001   2.4005E-001   0.0000E+000   0.0000E+000
       520   5.2000E+001   3.2333E-001   0.0000E+000   0.0000E+000
       530   5.3000E+001   4.3569E-001   0.0000E+000   0.0000E+000
       540   5.4000E+001   5.8737E-001   0.0000E+000   0.0000E+000
       550   5.5000E+001   7.9218E-001   0.0000E+000   0.0000E+000
       560   5.6000E+001   1.0688E+000   0.0000E+000   0.0000E+000
       570   5.7000E+001   1.4425E+000   0.0000E+000   0.0000E+000
       580   5.8000E+001   1.9476E+000   0.0000E+000   0.0000E+000
       590   5.9000E+001   2.6302E+000   0.0000E+000   0.0000E+000
       600   6.0000E+001   3.5532E+000   0.0000E+000   0.0000E+000
       610   6.1000E+001   4.8013E+000   0.0000E+000   0.0000E+000
       620   6.2000E+001   6.4895E+000   0.0000E+000   0.0000E+000
       630   6.3000E+001   8.7733E+000   0.0000E+000   0.0000E+000
       640   6.4000E+001   1.1863E+001   0.0000E+000   0.0000E+000
       650   6.5000E+001   1.6045E+001   0.0000E+000   0.0000E+000
       660   6.6000E+001   2.1705E+001   0.0000E+000   0.0000E+000
       670   6.7000E+001   2.9367E+001   0.0000E+000   0.0000E+000
       680   6.8000E+001   3.9741E+001   0.0000E+000   0.0000E+000
       690   6.9000E+001   5.3788E+001   0.0000E+000   0.0000E+000
       700   7.0000E+001   7.2810E+001   0.0000E+000   0.0000E+000
       710   7.1000E+001   9.8575E+001   0.0000E+000   0.0000E+000
       720   7.2000E+001   1.3348E+002   0.0000E+000   0.0000E+000
       730   7.3000E+001   1.8076E+002   0.0000E+000   0.0000E+000
       740   7.4000E+001   2.4482E+002   0.0000E+000   0.0000E+000
       750   7.5000E+001   3.3163E+002   0.0000E+000   0.0000E+000
       760   7.6000E+001   4.4926E+002   0.0000E+000   0.0000E+000
       770   7.7000E+001   6.0869E+002   0.0000E+000   0.0000E+000
       780   7.8000E+001   8.2479E+002   0.0000E+000   0.0000E+000
       790   7.9000E+001   1.1177E+003   0.0000E+000   0.0000E+000
       800   8.0000E+001   1.5148E+003   0.0000E+000   0.0000E+000
       810   8.1000E+001   2.0532E+003   0.0000E+000   0.0000E+000
       820   8.2000E+001   2.7832E+003   0.0000E+000   0.0000E+000
       830   8.3000E+001   3.7730E+003   0.0000E+000   0.0000E+000
       840   8.4000E+001   5.1152E+003   0.0000E+000   0.0000E+000
       850   8.5000E+001   6.9355E+003   0.0000E+000   0.0000E+000
       860   8.6000E+001   9.4042E+003   0.0000E+000   0.0000E+000
       870   8.7000E+001   1.2753E+004   0.0000E+000   0.0000E+000
       880   8.8000E+001   1.7294E+004   0.0000E+000   0.0000E+000
       890   8.9000E+001   2.3455E+004   0.0000E+000   0.0000E+000
       900   9.0000E+001   3.1812E+004   0.0000E+000   0.0000E+000
       910   9.1000E+001   4.3150E+004   0.0000E+000   0.0000E+000
       920   9.2000E+001   5.8532E+004   0.0000E+000   0.0000E+000
       930   9.3000E+001   7.9401E+004   0.0000E+000   0.0000E+000
       940   9.4000E+001   1.0772E+005   0.0000E+000   0.0000E+000
       950   9.5000E+001   1.4614E+005   0.0000E+000   0.0000E+000
       960   9.6000E+001   1.9827E+005   0.0000E+000   0.0000E+000
       970   9.7000E+001   2.6901E+005   0.0000E+000   0.0000E+000
       980   9.8000E+001   3.6500E+005   0.0000E+000   0.0000E+000
       990   9.9000E+001   4.9527E+005   0.0000E+000   0.0000E+000
      1000   1.0000E+002   6.7206E+005   0.0000E+000   0.0000E+000
