     istep       time        |phi|^2       |apar|^2       |bpar|^2
---------------------------------------------------------------------
         0   0.0000E+000   2.4928E-007   0.0000E+000   0.0000E+000
        10   1.0000E+000   4.1747E-007   0.0000E+000   0.0000E+000
        20   2.0000E+000   4.7547E-007   0.0000E+000   0.0000E+000
        30   3.0000E+000   4.3769E-007   0.0000E+000   0.0000E+000
        40   4.0000E+000   4.9369E-007   0.0000E+000   0.0000E+000
        50   5.0000E+000   5.4919E-007   0.0000E+000   0.0000E+000
        60   6.0000E+000   5.9928E-007   0.0000E+000   0.0000E+000
        70   7.0000E+000   6.7882E-007   0.0000E+000   0.0000E+000
        80   8.0000E+000   7.8482E-007   0.0000E+000   0.0000E+000
        90   9.0000E+000   9.2208E-007   0.0000E+000   0.0000E+000
       100   1.0000E+001   1.1010E-006   0.0000E+000   0.0000E+000
       110   1.1000E+001   1.3250E-006   0.0000E+000   0.0000E+000
       120   1.2000E+001   1.6011E-006   0.0000E+000   0.0000E+000
       130   1.3000E+001   1.9392E-006   0.0000E+000   0.0000E+000
       140   1.4000E+001   2.3512E-006   0.0000E+000   0.0000E+000
       150   1.5000E+001   2.8510E-006   0.0000E+000   0.0000E+000
       160   1.6000E+001   3.4564E-006   0.0000E+000   0.0000E+000
       170   1.7000E+001   4.1909E-006   0.0000E+000   0.0000E+000
       180   1.8000E+001   5.0832E-006   0.0000E+000   0.0000E+000
       190   1.9000E+001   6.1676E-006   0.0000E+000   0.0000E+000
       200   2.0000E+001   7.4845E-006   0.0000E+000   0.0000E+000
       210   2.1000E+001   9.0842E-006   0.0000E+000   0.0000E+000
       220   2.2000E+001   1.1027E-005   0.0000E+000   0.0000E+000
       230   2.3000E+001   1.3386E-005   0.0000E+000   0.0000E+000
       240   2.4000E+001   1.6249E-005   0.0000E+000   0.0000E+000
       250   2.5000E+001   1.9721E-005   0.0000E+000   0.0000E+000
       260   2.6000E+001   2.3932E-005   0.0000E+000   0.0000E+000
       270   2.7000E+001   2.9037E-005   0.0000E+000   0.0000E+000
       280   2.8000E+001   3.5223E-005   0.0000E+000   0.0000E+000
       290   2.9000E+001   4.2721E-005   0.0000E+000   0.0000E+000
       300   3.0000E+001   5.1804E-005   0.0000E+000   0.0000E+000
       310   3.1000E+001   6.2808E-005   0.0000E+000   0.0000E+000
       320   3.2000E+001   7.6135E-005   0.0000E+000   0.0000E+000
       330   3.3000E+001   9.2272E-005   0.0000E+000   0.0000E+000
       340   3.4000E+001   1.1181E-004   0.0000E+000   0.0000E+000
       350   3.5000E+001   1.3545E-004   0.0000E+000   0.0000E+000
       360   3.6000E+001   1.6406E-004   0.0000E+000   0.0000E+000
       370   3.7000E+001   1.9868E-004   0.0000E+000   0.0000E+000
       380   3.8000E+001   2.4057E-004   0.0000E+000   0.0000E+000
       390   3.9000E+001   2.9123E-004   0.0000E+000   0.0000E+000
